tweetID,topicNumber,gramID,count
126,2,712,1
126,2,713,1
126,2,715,1
126,2,332,1
126,2,141,1
127,1,44674,1
127,1,716,1
127,1,717,1
127,1,718,1
127,1,719,1
165,2,131,1
165,2,4,1
165,2,550,1
165,2,855,1
165,2,153,1
165,2,858,1
165,2,859,1
165,2,860,1
165,2,861,1
166,4,864,1
166,4,865,1
166,4,866,1
166,4,867,1
166,4,277,1
166,4,858,1
166,4,863,1
167,2,36000,1
167,2,871,1
167,2,872,1
167,2,873,1
167,2,349,1
167,2,60575,1
168,2,19366,1
168,2,874,1
168,2,876,1
168,2,877,1
168,2,878,1
168,2,18104,1
168,2,313,1
168,2,16127,1
169,1,672,1
169,1,880,1
169,1,879,1
352,1,1313,1
352,1,1314,1
352,1,451,1
352,1,918,1
352,1,294,1
352,1,232,1
352,1,1315,1
352,1,659,1
352,1,821,1
352,1,694,1
352,1,16535,1
352,1,16537,1
352,1,572,1
352,1,222,1
355,1,16548,1
355,1,647,1
355,1,1096,1
355,1,20460,1
355,1,1323,1
355,1,1324,1
355,1,1325,1
355,1,701,1
355,1,827,1
355,1,1245,1
385,2,144,3
386,3,675,1
386,3,677,1
386,3,15977,1
386,3,168,1
386,3,41,1
386,3,1386,1
386,3,1387,1
386,3,1388,1
386,3,16628,1
386,3,1129,1
386,3,16635,1
387,2,256,1
387,2,259,1
387,2,101,1
387,2,49158,1
387,2,585,1
387,2,55116,1
387,2,1390,1
387,2,1213,1
387,2,310,1
387,2,3959,1
387,2,1053,1
387,2,16638,1
387,2,901,1
388,4,16644,1
388,4,1162,1
388,4,846,1
388,4,497,1
388,4,916,1
388,4,537,1
389,1,16645,1
389,1,679,1
389,1,136,1
389,1,16601,1
389,1,250,1
389,1,28667,1
389,1,22714,1
389,1,1061,1
428,1,100,1
428,1,169,1
428,1,1469,1
428,1,1001,1
428,1,694,1
428,1,791,1
428,1,1161,1
428,1,1468,1
428,1,988,1
428,1,573,1
428,1,1470,1
450,1,1507,1
450,1,16679,1
450,1,589,1
450,1,430,1
450,1,19,2
450,1,509,1
450,1,1407,1
515,1,1451,1
515,1,353,1
515,1,1058,1
515,1,963,1
515,1,37,1
515,1,16532,1
515,1,843,1
515,1,819,1
515,1,15956,1
515,1,1208,1
515,1,1632,1
515,1,347,1
515,1,925,1
515,1,639,1
606,3,1200,1
607,3,19363,1
607,3,747,1
607,3,34637,1
607,3,982,1
607,3,25,1
607,3,35263,1
609,1,1696,1
609,1,17186,1
609,1,17188,1
609,1,426,1
609,1,15819,1
609,1,1774,1
609,1,1469,1
609,1,1776,1
609,1,499,1
609,1,1775,1
609,1,1162,1
609,1,446,1
791,1,1026,1
791,1,643,1
791,1,16906,1
791,1,25746,1
791,1,116,1
791,1,408,1
791,1,16221,1
804,1,133,1
804,1,1786,1
804,1,333,1
804,1,2093,1
804,1,624,1
804,1,17469,1
804,1,276,1
804,1,341,1
804,1,282,1
804,1,635,1
804,1,1018,1
804,1,41215,1
970,2,416,1
970,2,1056,1
970,2,706,1
970,2,131,1
970,2,227,1
970,2,1864,1
970,2,1866,1
970,2,1198,1
970,2,2328,1
970,2,499,1
970,2,20001,1
970,2,472,1
970,2,1247,1
970,2,447,1
971,1,224,1
971,1,1378,1
971,1,24292,1
971,1,37,1
971,1,934,1
971,1,1383,1
971,1,872,1
971,1,747,1
971,1,1798,1
971,1,1428,1
971,1,2330,1
1132,2,194,2
1132,2,2564,2
1132,2,332,1
1132,2,206,1
1132,2,51,1
1132,2,17572,1
1132,2,318,1
1134,1,16232,1
1134,1,443,1
1134,1,1108,1
1134,1,606,1
1136,2,17665,1
1136,2,1444,1
1136,2,901,1
1136,2,2568,1
1136,2,1352,1
1136,2,521,1
1136,2,554,1
1136,2,18411,1
1136,2,1421,1
1136,2,465,1
1136,2,213,1
1136,2,502,1
1136,2,2135,1
1136,2,858,1
1136,2,18408,1
1136,2,27903,1
1137,1,451,1
1137,1,679,1
1137,1,2569,1
1137,1,2571,1
1137,1,920,1
1137,1,730,1
1137,1,443,1
1137,1,1276,1
1137,1,477,1
1137,1,1247,1
1553,2,858,1
1554,2,233,1
1554,2,2979,1
1554,2,1957,1
1554,2,289,1
1555,1,322,1
1555,1,52035,1
1555,1,17316,1
1555,1,261,1
1555,1,73351,1
1555,1,35048,1
1555,1,16082,1
1555,1,370,1
1555,1,15702,1
1555,1,1593,1
1555,1,441,1
1555,1,1018,1
1555,1,15740,1
1569,1,19371,1
1569,1,934,1
1569,1,407,1
1569,1,850,1
1569,1,1779,1
1569,1,1750,1
1569,1,151,1
1569,1,376,1
1569,1,17722,1
1569,1,16414,1
1569,1,63,1
1689,2,858,1
1690,1,184,1
1690,1,1018,1
1738,1,3200,1
1738,1,1892,1
1738,1,231,1
1738,1,840,1
1738,1,106,2
1738,1,15851,1
1738,1,1640,1
1738,1,51,1
1738,1,52,1
1738,1,85,1
1738,1,598,1
1738,1,1593,1
1738,1,444,1
1739,1,299,1
1739,1,900,1
1739,1,296,1
1739,1,1087,1
1739,1,17258,1
1739,1,843,1
1739,1,19823,1
1739,1,790,1
1739,1,571,1
1739,1,2270,1
1739,1,479,1
1789,1,224,1
1789,1,15771,1
1789,1,808,1
1789,1,809,1
1789,1,402,1
1789,1,16080,1
1789,1,1169,1
1789,1,370,1
1789,1,1812,1
1789,1,91,1
1798,5,16745,1
1798,5,16746,1
1798,5,99915,1
1798,5,16204,1
1798,5,973,1
1798,5,73166,1
1798,5,73165,1
1798,5,15794,1
1798,5,567,1
1799,2,19968,1
1799,2,294,1
1799,2,1959,1
1799,2,3153,1
1799,2,1235,1
1799,2,2043,1
1801,1,16327,1
1801,1,73448,1
1801,1,1297,1
1801,1,17070,1
1801,1,688,1
1801,1,113,1
1801,1,669,1
2000,1,688,1
2000,1,420,1
2000,1,17110,1
2000,1,15702,1
2026,1,576,1
2026,1,1329,1
2026,1,5,1
2026,1,273,1
2026,1,15849,1
2026,1,1101,1
2026,1,686,1
2026,1,18701,1
2026,1,145,1
2026,1,723,1
2026,1,590,1
2026,1,1750,1
2026,1,2007,1
2026,1,1018,1
2026,1,2204,1
2026,1,17210,1
2026,1,1439,1
2041,1,231,1
2041,1,620,1
2041,1,17236,1
2041,1,437,1
2041,1,17237,1
2041,1,920,1
2041,1,73332,1
2041,1,16735,1
2139,2,792,1
2139,2,16202,1
2139,2,595,1
2139,2,18940,1
2139,2,30773,1
2140,4,484,1
2140,4,5,1
2140,4,646,1
2140,4,1768,1
2140,4,105,1
2140,4,2572,1
2140,4,880,1
2140,4,498,1
2140,4,1077,1
2140,4,605,1
2141,1,544,1
2141,1,1414,1
2141,1,231,1
2141,1,168,1
2141,1,37169,1
2141,1,16851,1
2141,1,17335,1
2141,1,1051,1
2383,6,2407,1
2383,6,3336,1
2383,6,1705,1
2383,6,1612,2
2383,6,1717,1
2383,6,2393,2
2383,6,3098,1
2383,6,2399,1
2383,6,2398,2
2383,6,2079,1
2384,4,175,1
2385,3,386,1
2385,3,4,1
2385,3,30312,1
2385,3,1138,1
2385,3,23,2
2385,3,3774,1
2385,3,767,1
2387,1,719,1
2387,1,69,1
2387,1,17879,1
2387,1,589,1
2395,1,192,1
2395,1,355,1
2395,1,420,1
2395,1,1061,1
2395,1,486,1
2395,1,615,1
2395,1,362,1
2395,1,1099,1
2395,1,429,1
2395,1,653,1
2395,1,1330,1
2395,1,852,1
2395,1,2169,1
2395,1,15935,1
2395,1,1162,1
2395,1,2277,1
2493,2,2634,1
2493,2,655,1
2493,2,3860,1
2493,2,537,1
2493,2,286,1
2493,2,223,1
2494,3,664,1
2494,3,3862,1
2494,3,510,1
2494,3,3783,1
2495,1,896,1
2495,1,66,1
2495,1,15907,1
2495,1,1001,1
2495,1,620,1
2495,1,564,1
2495,1,53,1
2495,1,47177,1
2495,1,410,1
2495,1,571,1
2495,1,1685,1
2623,1,306,1
2623,1,914,1
2623,1,206,1
2718,1,443,1
2718,1,20068,1
2718,1,22053,1
2718,1,16232,1
2718,1,18284,1
2718,1,109,1
2718,1,825,1
2718,1,571,1
2718,1,669,1
2718,1,863,1
2771,2,488,1
2771,2,767,1
2772,1,3318,1
2772,1,2726,2
2772,1,967,2
2772,1,2439,1
2772,1,1044,1
2772,1,86,1
2772,1,824,1
2772,1,159,1
2824,2,1049,1
2824,2,2842,1
2825,1,443,1
2852,1,66,1
2852,1,420,1
2852,1,840,1
2852,1,105,1
2852,1,2512,1
2852,1,1874,1
2852,1,1365,1
2852,1,356,1
2852,1,22330,1
2899,1,264,1
2899,1,26297,1
2899,1,1052,1
2916,1,864,1
2916,1,45,1
2916,1,22531,1
2916,1,357,1
2916,1,360,1
2916,1,429,1
2916,1,527,1
2916,1,624,1
2916,1,1012,1
2916,1,333,1
2916,1,17460,1
2916,1,17469,1
2916,1,1599,1
3210,2,2118,1
3210,3,2118,1
3210,2,1521,1
3210,3,1521,1
3210,2,1639,1
3210,3,1639,1
3210,2,2094,1
3210,3,2094,1
3210,2,497,1
3210,3,497,1
3210,2,4500,1
3210,3,4500,1
3210,2,982,1
3210,3,982,1
3210,2,1432,1
3210,3,1432,1
3210,2,794,1
3210,3,794,1
3210,2,957,1
3210,3,957,1
3210,2,1534,1
3210,3,1534,1
3211,5,672,1
3211,5,3014,1
3211,5,843,1
3211,5,1134,1
3211,5,370,1
3211,5,4014,1
3211,5,151,1
3211,5,699,1
3212,1,544,1
3212,1,836,1
3212,1,389,1
3212,1,72,1
3212,1,598,1
3212,1,20857,1
3212,1,666,1
3212,1,74716,1
3212,1,1277,1
3244,1,609,1
3244,1,354,1
3244,1,1283,1
3244,1,263,1
3244,1,169,1
3244,1,2061,1
3244,1,850,1
3244,1,1487,1
3244,1,241,1
3244,1,18,1
3244,1,564,1
3244,1,2037,1
3244,1,852,1
3244,1,572,1
3244,1,3774,1
3348,2,2137,1
3348,2,1666,1
3348,2,668,1
3348,2,16876,1
3348,2,655,1
3349,4,4618,1
3349,4,1804,1
3349,4,493,1
3350,3,544,1
3350,3,1953,1
3350,3,1346,1
3350,3,1092,1
3350,3,298,1
3350,3,747,1
3350,3,72914,1
3350,3,853,1
3350,3,1209,1
3350,3,3258,1
3350,3,15829,1
3351,1,672,1
3351,1,225,1
3351,1,3266,1
3351,1,1987,1
3351,1,1380,1
3351,1,465,1
3351,1,264,1
3351,1,35528,1
3351,1,4624,1
3351,1,17,1
3351,1,16256,1
3351,1,16065,1
3351,1,284,1
3459,1,2050,1
3459,1,420,1
3459,1,22162,1
3459,1,2195,1
3459,1,1017,1
3459,1,100,1
3459,1,17980,1
3545,1,761,1
3545,1,15977,1
3624,1,1600,1
3624,1,24059,1
3624,1,723,1
3624,1,1599,1
3687,1,130,1
3687,1,15907,1
3687,1,263,1
3687,1,73448,1
3687,1,16327,1
3687,1,173,1
3687,1,366,1
3687,1,429,1
3687,1,1330,1
3687,1,211,1
3687,1,564,1
3687,1,15694,1
3687,1,4886,1
3687,1,279,1
3687,1,20974,1
3687,1,1018,2
3687,1,16210,1
3687,1,16221,1
3687,1,66420,1
3687,1,17070,1
3783,1,576,1
3783,1,17700,1
3783,1,17350,1
3783,1,1451,1
3783,1,812,1
3783,1,52,1
3783,1,477,1
3783,1,222,1
3803,1,544,1
3803,1,2139,1
3803,1,15702,1
3803,1,232,1
3803,1,15914,1
3803,1,1451,1
3803,1,74621,1
3803,1,18344,1
3803,1,1234,1
3803,1,182,1
3803,1,443,1
3803,1,573,1
3803,1,16734,1
3916,2,537,1
3916,2,17170,1
3916,2,2043,1
3916,2,29,1
3916,2,41021,1
3917,1,610,1
3917,1,323,1
3917,1,232,1
3917,1,2858,1
3917,1,2255,1
3917,1,1814,1
3917,1,36827,1
3917,1,669,1
3917,1,255,1
3966,1,248,1
3966,1,5104,1
3966,1,2,1
3966,1,811,1
3966,1,16676,1
4306,1,58395,1
4306,1,1700,1
4306,1,17110,1
4306,1,264,1
4306,1,525,1
4306,1,20174,1
4306,1,1200,1
4306,1,35048,1
4306,1,370,1
4306,1,21173,1
4306,1,15702,1
4306,1,18020,1
4306,1,25019,1
4306,1,126,1
4306,1,1247,1
4386,6,740,1
4386,6,3057,1
4386,6,1717,1
4386,6,5467,1
4386,6,5374,1
4386,6,5461,1
4388,1,1380,1
4388,1,25663,1
4388,1,1037,1
4388,1,429,1
4388,1,370,1
4388,1,502,1
4388,1,87,1
4388,1,1209,1
4388,1,16219,1
4388,1,1276,1
4388,1,1599,1
4417,2,800,1
4417,2,18241,1
4417,2,5,1
4417,2,3462,1
4417,2,617,1
4417,2,3659,1
4417,2,817,1
4417,2,854,1
4417,2,1913,1
4417,2,890,1
4417,2,1310,1
4417,2,133,1
4418,1,1122,1
4418,1,263,1
4418,1,781,1
4418,1,15694,1
4418,1,1199,1
4418,1,113,1
4418,1,16210,1
