two_word
"two male"
"male roommat"
"two differ"
"differ hous"
"felt entitl"
"candid convo"
"accept dinner"
"dinner date"
"noth wrong"
"drug test"
"follow mon"
"rape kit"
"turn 18"
"new freshman"
"basebal team"
"everyon love"
"right peopl"
"rape becaus"
"nhe rape"
"anybodi els"
"realcandaceo trump"
"serial predat"
"still deal"
"sexual harass"
"harass act"
"act pass"
"r s"
"care enough"
"onli 16"
"better yet"
"power role"
"feign concern"
"theatric confus"
"peopl laugh"
"report becaus"
"complet suicid"
"quit shi"
"respect fundamentalist"
"fundamentalist rapist"
"rapist explain"
"go braless"
"good remind"
"cop told"
"great time"
"remind peopl"
"joe araipo"
"investig sex"
"sex crime"
"immigr child"
"child n"
"30 told"
"onli 1"
"regard actual"
"actual guilt"
"juri think"
"democrat latest"
"latest victim"
"victim hashtag"
"way pathet"
"first time"
"happen 3"
"3 time"
"never report"
"report ani"
"professor ford"
"ford come"
"come forward"
"30 year"
"year later"
"later call"
"horribl experi"
"ha ever"
"ever doubt"
"sexual assault"
"harass survivor"
"survivor need"
"hey let"
"let s"
"s ask"
"last time"
"etc ignor"
"made light"
"credibl sexual"
"assault claim"
"merrick garland"
"seen sinc"
"came back"
"physic ill"
"assault done"
"age 8"
"stand proud"
"m good"
"felt foolish"
"40 someth"
"someth woman"
"2 day"
"bare get"
"scarlet letter"
"letter still"
"still get"
"get sewn"
"much shame"
"guilt report"
"total differ"
"differ mental"
"mental psycholog"
"psycholog differ"
"report immedi"
"ofc speak"
"right away"
"famili member"
"second anoth"
"anoth 20"
"20 entri"
"entri pop"
"12 yr"
"yr old"
"60 yr"
"busi owner"
"m free"
"adopt daughter"
"yet heard"
"self fulfil"
"becaus peopl"
"understand whi"
"whi woman"
"make stuff"
"sound like"
"classi guy"
"real man"
"go fuck"
"manipul sexual"
"assault victim"
"stand read"
"stori share"
"get better"
"give ani"
"ani detail"
"social medium"
"medium hashtag"
"15 year"
"later societi"
"societi still"
"still doe"
"linger pain"
"jeopard career"
"femal teacher"
"mislead becaus"
"11 year"
"year old"
"old boy"
"tw sexual"
"mani brave"
"brave peopl"
"peopl come"
"small portion"
"skate becaus"
"must crucifi"
"mom told"
"meant well"
"nice guy"
"clear oblivi"
"movement today"
"back home"
"next day"
"older cousin"
"cousin use"
"long stick"
"onli play"
"10 year"
"thing happen"
"cousin decad"
"decad prior"
"crowd parti"
"author figur"
"ani report"
"everi survivor"
"survivor share"
"ha done"
"it s"
"woman told"
"did report"
"girl see"
"s treatment"
"assault yet"
"new generat"
"alway take"
"take u"
"u backward"
"bill clinton"
"trump s"
"s leak"
"leak tape"
"tape comment"
"comment describ"
"describ sexual"
"oh ladi"
"good men"
"wa sure"
"see mani"
"mani similar"
"similar stori"
"this make"
"make absolut"
"fuck sens"
"assault carri"
"heavi burden"
"time like"
"old enough"
"even though"
"high school"
"school boyfriend"
"17 turn"
"restrain order"
"next time"
"adult thing"
"nthank god"
"alreadi knew"
"colleg continu"
"toxic masculin"
"career destroy"
"parti girl"
"christin blasey"
"blasey ford"
"ford thought"
"thought kavanaugh"
"kavanaugh might"
"might inadvert"
"inadvert kill"
"monster onli"
"onli belong"
"daughter got"
"male polic"
"polic detect"
"innumer time"
"make polic"
"open court"
"s tweet"
"assault respond"
"everyon need"
"victim shame"
"polic offer"
"hollywood produc"
"produc explain"
"quit well"
"whyididntreport becaus"
"think anyon"
"boy felt"
"teacher s"
"s respons"
"n nin"
"everi time"
"time someon"
"someon ignor"
"question never"
"never left"
"veri power"
"emot hashtag"
"aw stori"
"issu need"
"peopl onli"
"onli believ"
"believ accus"
"hour ago"
"35k tweet"
"rosenstein stori"
"stori look"
"look like"
"standard trump"
"trump medium"
"medium play"
"want kavanaugh"
"help save"
"justic come"
"around nine"
"nine year"
"freshman year"
"alreadi small"
"small popul"
"s see"
"2 differ"
"differ famili"
"attempt rape"
"16th birthday"
"home gun"
"stop fuck"
"fuck ask"
"ask whi"
"whi victim"
"stori make"
"make ani"
"ani accus"
"accus target"
"target guilti"
"teen beauti"
"beauti queen"
"queen say"
"say trump"
"trump walk"
"6 month"
"butcher knife"
"final told"
"fragil cocoon"
"mayb actual"
"actual go"
"go see"
"actual document"
"document stori"
"stori coincid"
"trend happen"
"happen befor"
"befor dismiss"
"might help"
"novemb ca"
"fast enough"
"best friend"
"friend boyfriend"
"cousin wed"
"got total"
"total trash"
"friend blame"
"hotel parti"
"wan na"
"na caus"
"mom ani"
"wear short"
"short short"
"felt like"
"top polic"
"word v"
"plant someth"
"alreadi pretti"
"pretti broken"
"broken famili"
"famili dynam"
"7 year"
"onli child"
"hollywood weigh"
"donald trump"
"heart ach"
"everi woman"
"woman unabl"
"fault becaus"
"want anyon"
"anyon els"
"9 year"
"first ever"
"ever slumber"
"slumber parti"
"friend father"
"urin becaus"
"much older"
"never want"
"veri good"
"good possibl"
"desper move"
"griresqu lie"
"lie hide"
"hide behind"
"real movement"
"movement like"
"hospit personnel"
"12 hour"
"never question"
"also knew"
"d put"
"d get"
"get angri"
"went 2"
"2 town"
"short say"
"onli last"
"uber jealous"
"35 becaus"
"phone number"
"friend face"
"whi peopl"
"peopl still"
"exact what"
"what s"
"s happen"
"veri fine"
"mani reason"
"everi day"
"aka whi"
"number 1"
"1 trend"
"er doctor"
"chanc becaus"
"justic system"
"system work"
"former abus"
"local polic"
"offic told"
"stop wast"
"wast polic"
"polic time"
"n nreport"
"make thing"
"thing wors"
"first abus"
"good ol"
"primari social"
"social worker"
"thing 35"
"35 year"
"year ago"
"stuf insid"
"shoulder alon"
"becaus even"
"love parent"
"17 get"
"get held"
"man ten"
"ten year"
"liter scare"
"make certain"
"certain type"
"warp view"
"fli anymor"
"fuck bc"
"closest thing"
"regular stare"
"onli person"
"tech career"
"frat brother"
"late 80"
"80 s"
"m still"
"still affect"
"never believ"
"tweet ha"
"current cri"
"fuck assault"
"lose credibl"
"exhusband rape"
"ha affect"
"affect everi"
"everi aspect"
"peopl live"
"constant fear"
"brain tri"
"disturb mess"
"onli said"
"woman whose"
"whose pu"
"grab ever"
"ever complain"
"one care"
"serial abus"
"power democrat"
"onli two"
"two year"
"suprem court"
"need vector"
"vector trace"
"photo edit"
"background remov"
"graphic work"
"sever incid"
"incid throughout"
"didnt report"
"da 1"
"1 x"
"said statut"
"chang touch"
"one help"
"father molest"
"famili vacat"
"mouth shut"
"whi bother"
"differ reason"
"reason whi"
"keep thing"
"claim unsubstanti"
"unsubstanti victimhood"
"espous polit"
"polit view"
"feminista movement"
"assault survivor"
"death seem"
"seem easier"
"whyididntreport send"
"send prayer"
"virtual hug"
"woman victim"
"god bless"
"bless ya"
"peopl take"
"take forev"
"s heartwrench"
"merci upon"
"upon u"
"nobodi believ"
"guitar teacher"
"hous alon"
"demon worshipp"
"ha sold"
"wick soul"
"f d"
"appar frequenc"
"s like"
"like america"
"america s"
"s gun"
"gun issu"
"complet swept"
"panick tear"
"happen soon"
"soon onc"
"onc dr"
"dr ford"
"ford came"
"came forward"
